server_count,avg_cpu_util,storage_tb,downtime_tolerance,compliance_level,growth_rate,budget_sensitivity,strategy
309,15,62.318769522878206,10.351785510393004,3,36,3,Cloud-Native
166,43,21.221660742930105,17.33050731855125,1,16,2,Hybrid
72,48,46.265232684474746,22.331930795079582,1,0,2,Hybrid
323,82,99.61354833765435,2.2216269458413755,1,32,2,Cloud-Native
72,54,88.20555319495752,21.162850698386755,2,18,1,Hybrid
229,79,70.65045258364972,14.874427494559828,3,33,1,Hybrid
346,80,30.63849646779781,16.089634801702815,1,16,1,Hybrid
460,23,74.49925171411887,4.153025879712276,2,38,1,Lift-and-Shift
372,53,21.15613392041784,15.404592033799373,2,32,2,Cloud-Native
133,16,10.137548303560608,10.45403065524757,2,2,1,Hybrid
175,26,64.07422435283658,6.655948667207182,3,28,3,Cloud-Native
366,64,56.52977961269989,3.1290361938493727,3,9,3,Hybrid
23,57,58.66844708248961,3.9802039608358424,1,2,2,Hybrid
191,15,89.99353901612099,5.43679865098422,1,6,2,Hybrid
404,81,88.52933544364988,10.049868661054745,3,9,1,Hybrid
447,30,97.64439726016532,19.553135418599325,2,1,1,Lift-and-Shift
382,52,78.45626311861554,10.175259413961511,3,15,2,Hybrid
86,23,38.87163053709649,1.4100282801459816,2,14,1,Hybrid
423,68,35.616184020145944,19.782604952831708,1,14,1,Hybrid
342,34,40.44813187791357,7.047171934040592,1,17,2,Lift-and-Shift
333,75,40.568160051646025,23.557017649159114,3,21,1,Hybrid
64,43,18.678213801073902,23.119556420396552,2,2,1,Hybrid
310,65,35.223024056300225,18.981062187786527,2,38,3,Cloud-Native
64,59,90.05096855820877,4.966851200803957,1,27,1,Hybrid
271,78,68.99885754453814,22.5961833293425,3,12,2,Hybrid
225,18,94.93857411116012,22.138115121123946,3,20,3,Lift-and-Shift
439,25,72.25567203838106,7.557573302964708,2,26,2,Cloud-Native
211,47,55.88683528901257,5.0082421852684655,3,24,3,Hybrid
388,32,61.93597667918667,7.572322052290785,3,0,2,Lift-and-Shift
151,36,43.55892684899363,14.129642358098526,3,20,2,Hybrid
231,66,67.88709608581989,12.512588926552796,3,10,3,Hybrid
48,46,52.02974898160643,15.374110110496199,2,5,1,Lift-and-Shift
349,49,23.23942593373154,5.179553419074551,1,2,1,Hybrid
248,88,85.12403176784846,2.211463385837374,2,40,3,Cloud-Native
104,59,49.94333973203326,6.233634330093313,3,0,1,Hybrid
403,64,22.665272544419622,19.39658162006886,3,33,2,Cloud-Native
30,81,25.670629686337193,20.435904162764004,2,8,2,Hybrid
346,77,98.80135285357835,14.493129484031362,2,39,3,Cloud-Native
461,74,43.2473349290069,21.811086165718667,2,10,3,Hybrid
446,70,45.5569059674439,18.16675448276202,3,17,3,Hybrid
253,90,24.685340517648655,10.837005941725213,3,18,1,Hybrid
144,52,32.65124727345747,13.193577229183726,1,9,1,Hybrid
201,29,70.93549502776067,2.0093779917761347,2,21,3,Lift-and-Shift
243,63,7.164305347774947,20.07294247950146,2,37,3,Cloud-Native
15,83,38.65772186384345,0.6385579642238373,2,19,2,Hybrid
441,63,54.28383619341292,17.763900427774406,3,14,2,Hybrid
117,44,44.147761628617026,1.1820832687478082,2,25,3,Hybrid
89,69,92.03462044622862,23.546966471694695,3,1,2,Hybrid
308,82,66.63697592677997,2.472765360807005,2,8,2,Hybrid
98,16,26.755475078011166,8.192787673130756,2,20,2,Hybrid
394,58,28.547404948241795,22.8532968167232,2,16,1,Hybrid
245,12,75.15340184720222,1.7240117937165036,2,14,3,Lift-and-Shift
40,15,75.66908720189309,22.815875718825737,1,1,3,Hybrid
83,40,13.495876512546419,16.2322828485679,3,13,2,Hybrid
363,42,76.92291173726784,4.443044869143353,3,7,1,Hybrid
498,49,11.70177621610305,1.1034429991904515,2,36,3,Cloud-Native
469,58,40.2687897101461,17.30284556866251,1,37,3,Cloud-Native
430,90,25.04208867317608,16.88403555865065,2,38,1,Hybrid
412,82,78.48089928974095,8.65928848474855,2,23,1,Hybrid
264,53,2.252562866419455,10.37138040978295,2,6,2,Hybrid
496,56,63.92292550404314,19.974621808557767,3,9,2,Hybrid
95,76,96.5818993925697,6.846936315103919,3,30,2,Cloud-Native
228,85,27.571158266873308,20.515259260454297,1,17,2,Hybrid
129,69,57.4151148231539,16.202429055469096,2,1,2,Hybrid
440,51,19.002145858611488,5.484816479223866,2,21,2,Hybrid
455,86,70.41719128288796,6.992311530270346,1,33,1,Hybrid
48,40,72.28739174631524,11.981579400946503,1,30,3,Cloud-Native
369,72,45.369280409070505,0.9052165946867579,2,14,2,Hybrid
359,41,31.31439698287875,14.16655625531063,2,35,3,Cloud-Native
181,64,99.66651493197386,13.434129109781946,2,29,2,Cloud-Native
161,42,23.823266088552266,17.450181786162634,2,7,3,Hybrid
279,33,19.962556328043927,17.85720935746034,2,37,3,Cloud-Native
310,46,98.0705524157888,20.066766538186094,2,14,2,Hybrid
96,48,2.4006883583503194,13.052174597790087,2,2,1,Hybrid
288,47,70.04432189810925,3.4675680845226093,2,6,1,Hybrid
298,46,47.47029754812051,10.851016756196241,1,3,2,Hybrid
486,71,12.29462693176753,2.035570725177413,2,4,3,Hybrid
327,16,16.020973688144686,19.561838792463618,2,5,1,Lift-and-Shift
65,81,76.67990108729323,14.748464804209625,3,14,3,Hybrid
199,67,90.94193338475658,7.487798614158604,3,27,2,Cloud-Native
296,89,6.962800132881544,23.06255626970603,1,13,3,Hybrid
113,43,66.38238558201162,4.190841694450613,1,35,1,Hybrid
85,10,41.44323969334264,16.70022169094207,2,18,1,Hybrid
123,46,70.9886271580243,17.020207615202352,2,4,3,Hybrid
124,43,78.9949746380264,15.188863168359214,3,12,2,Hybrid
63,79,23.25613557633636,4.001250925270236,2,9,1,Hybrid
35,31,79.47022805700875,14.48353487700601,3,18,2,Hybrid
68,69,69.17912112999728,16.943741596929357,2,32,3,Cloud-Native
257,66,8.963743338030795,1.4367284283149067,2,20,3,Hybrid
133,13,10.041361776467536,23.104910901531664,3,37,1,Hybrid
396,44,58.04845147567193,18.433061598035078,1,30,3,Cloud-Native
338,66,91.69120600474999,4.7649949597434595,3,27,3,Cloud-Native
421,72,96.93646837050466,11.545244281568264,2,21,2,Hybrid
348,23,85.9155763456349,8.250386094105686,3,31,2,Cloud-Native
344,61,81.54303743905929,13.4272703108369,2,5,2,Hybrid
134,51,12.476238541664829,18.654876261935485,3,0,3,Hybrid
450,79,46.73565815323226,1.7737960063531222,3,23,3,Hybrid
392,73,62.91546547235589,18.359777597433897,1,17,3,Cloud-Native
72,46,44.373493412165445,16.908875684371047,1,1,3,Hybrid
316,40,71.26849968492566,7.802628252243375,1,35,2,Cloud-Native
52,38,99.23345680012675,21.953852144377947,2,7,3,Hybrid
431,29,50.33917496601233,17.340178160807092,3,17,2,Lift-and-Shift
432,71,98.04421862773417,6.227676292765752,3,9,2,Hybrid
102,86,51.3158482676965,21.16416699594219,1,17,2,Hybrid
179,74,27.450093643623575,0.5602835949265644,3,19,3,Hybrid
301,72,86.66079887532402,10.99386373651507,2,22,2,Hybrid
287,79,38.343795367174714,22.422028009308633,1,15,3,Hybrid
201,39,85.74528462275045,10.153214745415086,2,30,3,Cloud-Native
472,58,39.221796496607254,16.096687492886566,3,9,2,Hybrid
498,14,13.49838071112948,23.18580936915606,2,6,2,Lift-and-Shift
56,77,91.13372609195024,0.8606685510086249,1,26,3,Cloud-Native
84,19,47.47956949748846,23.276285318494104,2,39,3,Cloud-Native
208,20,85.32476394271845,20.530021409298488,3,24,2,Lift-and-Shift
325,72,87.36591872245509,1.3436288461856345,1,15,3,Hybrid
355,46,99.74516637266532,18.049009618341284,2,6,3,Hybrid
365,22,44.92417661450887,16.80902732564101,1,2,2,Lift-and-Shift
412,17,30.04340982055567,9.308765609719899,1,15,3,Lift-and-Shift
215,82,68.49823676392009,4.731336824555811,1,5,3,Hybrid
450,58,62.35132648520412,6.159500108623356,3,9,1,Hybrid
241,42,46.49747941849637,16.1707568557623,2,18,3,Hybrid
284,30,8.312328128004426,22.71303742096418,3,19,3,Lift-and-Shift
497,64,69.34103773355278,11.235641597692982,2,12,2,Hybrid
441,71,11.55867347481373,9.462060994954282,2,36,2,Cloud-Native
363,47,3.1720201880969356,20.005882695081834,2,17,1,Hybrid
294,16,91.15107841815234,18.011545622148297,2,14,3,Lift-and-Shift
415,55,22.68144935388244,4.968101748011575,2,8,3,Hybrid
54,90,64.98772028016177,7.759922772886948,2,2,3,Hybrid
191,26,9.923204198875675,7.435095613285149,3,26,1,Hybrid
107,26,78.86476829202002,21.096824022606054,2,33,3,Cloud-Native
472,44,83.21678933717234,6.5387969872366645,2,18,3,Hybrid
450,53,80.61902132184655,11.50578763803834,1,9,1,Hybrid
445,60,96.7597049827032,19.407809634483204,2,5,2,Hybrid
12,43,54.12065851863685,11.187471651746055,3,16,3,Hybrid
200,57,11.726264117723838,5.994814701972205,1,39,3,Cloud-Native
172,88,22.91535280732501,1.9856004672645928,2,19,3,Hybrid
214,24,14.837924238214887,22.73714602272574,2,31,1,Lift-and-Shift
54,40,88.83867154432173,3.688105144598908,2,23,3,Hybrid
491,79,42.49354858805756,17.943321846984922,1,26,3,Cloud-Native
55,72,61.94956919106448,22.5677470442709,2,2,3,Hybrid
194,37,44.894925520009465,22.838046491508532,2,6,3,Hybrid
193,79,90.26792503004081,15.65343002921965,1,25,2,Hybrid
102,25,94.95206803795162,19.86849042539193,1,13,3,Hybrid
332,86,97.13823789443364,1.6885950005775154,2,15,1,Hybrid
407,82,21.315351939144765,20.000719174602615,3,13,3,Hybrid
115,39,33.52739578979081,3.9675232286239273,3,0,2,Hybrid
444,28,98.76520313225106,13.195063236284058,1,7,3,Lift-and-Shift
448,13,14.048519726627852,8.918693561588523,1,37,2,Cloud-Native
13,32,27.271383324172362,3.4788257772503366,2,33,1,Hybrid
386,18,48.14835057690178,18.783400423883766,3,37,1,Lift-and-Shift
236,74,22.933425885410216,14.955010652684258,3,33,2,Cloud-Native
239,13,7.021715341956076,11.756074908461537,2,27,3,Cloud-Native
60,72,71.52773017481253,10.923714740030704,1,20,3,Cloud-Native
80,18,13.49296724220055,15.171461115608384,3,35,3,Cloud-Native
171,58,99.46814783023143,12.968085679636127,2,32,3,Cloud-Native
225,22,79.51651321706296,3.188730702106871,3,35,3,Cloud-Native
448,37,43.576924224972245,21.370139016729585,2,21,2,Lift-and-Shift
209,63,73.23163825581594,7.844886224932625,2,16,2,Hybrid
493,29,68.9952825112307,11.645295311343913,1,5,1,Lift-and-Shift
226,22,74.71430794999603,9.257201195333733,1,35,1,Lift-and-Shift
305,81,56.60665477540308,16.24531172120895,2,22,3,Hybrid
486,64,86.94112273803744,17.44492595053451,2,38,2,Cloud-Native
185,23,58.21393332059563,5.4993619332921435,3,30,1,Hybrid
438,23,35.66128542789792,13.572238688451682,1,17,3,Cloud-Native
120,64,84.67036097150745,23.40184514995414,3,39,3,Cloud-Native
334,81,3.5991293139047564,22.333480838381004,3,17,1,Hybrid
97,44,70.56717851369486,7.761140187502889,2,22,1,Hybrid
97,28,57.06578838137625,9.918432083988616,1,40,1,Hybrid
51,77,22.298155123317585,10.366063603465824,2,10,2,Hybrid
164,51,77.90672637670735,13.838448580438335,1,3,1,Hybrid
85,89,5.926486750862759,2.4171658969999594,2,27,2,Cloud-Native
315,66,42.004190050389745,5.5658706854370505,3,7,2,Hybrid
225,24,29.041400537964485,16.444426986863128,2,33,3,Cloud-Native
162,15,22.831325114749934,23.63447297054631,1,0,1,Hybrid
159,37,76.9676032035518,18.457781050389322,2,20,1,Hybrid
8,73,74.95439821954702,4.628827844082294,2,34,3,Cloud-Native
122,74,56.31363319979656,16.19913203601319,2,4,2,Hybrid
446,15,44.1857399557189,11.304224883372463,1,20,3,Cloud-Native
224,83,41.0378655660182,15.543329222618103,2,7,2,Hybrid
15,51,18.01544487722883,22.768936269178567,2,23,1,Lift-and-Shift
228,23,25.088331007450634,14.33847527511843,3,5,2,Lift-and-Shift
450,49,74.83467781999569,5.706943384014907,1,4,3,Hybrid
329,24,53.52987725649218,5.056737097272158,2,22,3,Lift-and-Shift
495,28,24.390616045725704,3.941439129525818,1,11,3,Lift-and-Shift
83,19,18.537466765775687,18.661930097317665,2,29,3,Cloud-Native
394,84,45.44162044251124,22.217625072062994,3,40,3,Cloud-Native
170,90,32.29775055456744,10.834426184033804,2,28,3,Cloud-Native
160,45,59.55055592627108,8.770642231571799,1,19,2,Hybrid
236,14,6.632115032561285,20.044870844083356,1,5,3,Lift-and-Shift
309,74,39.063765181664024,14.137741074162978,3,2,2,Hybrid
470,83,65.53190801021238,8.055878927690067,2,32,1,Hybrid
495,17,45.60178779249404,19.557720066081586,2,5,3,Lift-and-Shift
335,32,4.875070493866707,17.129110051597053,2,33,3,Cloud-Native
317,30,37.02589800888557,22.071514544248572,2,26,2,Cloud-Native
352,86,6.184186236064621,15.325834499386518,2,4,2,Hybrid
53,81,68.15955513916802,7.177453886135672,3,38,1,Hybrid
175,20,58.69121194405554,3.823566943731469,2,19,3,Hybrid
362,60,13.766214168884458,17.157599337719766,1,19,3,Cloud-Native
197,52,81.5052935976653,16.247735399875978,3,33,1,Hybrid
335,64,51.34036015585796,0.928417638101019,2,11,1,Hybrid
179,72,20.008518132774242,23.99945059592117,1,4,2,Hybrid
437,22,51.26128155973998,13.18461282272127,3,33,1,Lift-and-Shift
343,53,87.76288448173145,15.023739439097437,3,24,1,Hybrid
88,33,83.30316061222342,18.620798622678226,1,28,1,Hybrid
215,56,67.95992929666475,6.081959734002739,2,39,2,Cloud-Native
390,67,24.166291489207023,6.120459685269708,2,12,2,Hybrid
352,83,98.45953955962615,11.349479493363246,2,24,3,Hybrid
275,63,96.66054716738878,19.696944130159142,3,8,2,Hybrid
31,71,87.53757756017147,13.531707517474134,1,33,1,Lift-and-Shift
150,20,76.5485661988774,6.910595540396881,3,9,2,Hybrid
51,38,81.85362232969455,21.288799682373174,1,26,1,Hybrid
207,74,38.02218728022299,9.574903774047982,1,23,1,Hybrid
19,50,93.15176457024536,20.220642758872735,3,21,1,Lift-and-Shift
75,14,29.40106033401355,19.99939720409133,3,8,3,Hybrid
245,67,61.919477459191285,21.787650993926864,1,16,1,Hybrid
432,29,55.33162029893971,17.590017455135897,3,27,1,Lift-and-Shift
402,46,24.52638243745243,3.363436111227512,1,26,3,Cloud-Native
411,89,46.25424804700842,3.1051605393153525,2,38,3,Cloud-Native
13,90,52.0221972907312,6.185546158893343,1,18,2,Hybrid
5,88,35.92878792297735,13.910597326527077,1,5,3,Hybrid
189,18,95.38696412056598,13.285926058308785,3,35,1,Hybrid
204,70,5.309908091510887,9.591711055892903,2,16,3,Hybrid
13,55,79.06348161167202,8.602858589339695,3,40,1,Hybrid
400,84,73.78351149641881,8.314187296741645,1,22,3,Cloud-Native
178,32,83.20798201959667,16.590040310611112,3,30,3,Cloud-Native
98,27,7.246953166190238,18.74047439303041,2,2,2,Hybrid
108,15,79.31981210967535,21.316074062025468,2,19,3,Hybrid
208,79,47.8665770000075,1.3605881311173462,3,12,2,Hybrid
187,16,86.7140294307277,8.300230129961596,1,23,2,Hybrid
460,61,74.5874628464425,21.52398113144375,2,21,1,Hybrid
259,73,37.367345769008516,19.236335688851643,2,5,3,Hybrid
222,20,43.63010804834124,23.88480687383577,1,34,2,Cloud-Native
169,23,8.92682219642453,16.031601704266212,2,28,3,Cloud-Native
372,64,17.497832434525453,10.93184695587571,2,2,3,Hybrid
450,55,61.87029673767766,10.721101846188686,3,3,1,Hybrid
348,61,36.96780193444725,19.325755425710994,3,10,1,Hybrid
78,87,68.13079832754943,10.797061386091826,1,4,1,Hybrid
403,56,36.85290767179865,22.812477129178113,1,38,1,Hybrid
352,67,94.93352939729009,9.242314394061067,1,36,1,Hybrid
276,56,40.40537054929255,15.764677312591742,1,7,1,Hybrid
381,33,50.40535206539021,9.594203430922692,3,7,2,Lift-and-Shift
401,43,70.69974330947576,5.542404997457414,3,18,3,Hybrid
474,72,20.8176557581209,3.6896178166673903,1,28,1,Hybrid
465,66,99.72897799828114,19.54706063140435,2,22,3,Hybrid
38,80,54.67496476133067,21.44629453531639,1,40,1,Lift-and-Shift
411,56,51.366818772255776,3.3520176943437368,1,8,1,Hybrid
409,73,3.6021186540183034,13.519503775600484,2,29,3,Cloud-Native
71,88,88.54039823662737,2.045080473783103,2,30,3,Cloud-Native
215,62,82.51060055133067,2.233141753414117,2,4,2,Hybrid
243,76,35.10696328956727,21.132063563784676,3,40,3,Cloud-Native
98,26,43.82921036171551,21.901738367251852,1,7,3,Hybrid
83,48,17.30105090912229,8.082527652132057,3,14,2,Hybrid
490,76,89.59766576529132,20.379442094662842,2,12,3,Hybrid
494,80,28.170652288137813,15.188025494041876,3,34,1,Hybrid
262,31,59.58903608634391,14.145192776795962,1,39,3,Cloud-Native
466,87,34.424339073974416,22.21234854493308,1,1,1,Hybrid
28,83,27.200934875472395,5.453996922996167,3,26,3,Cloud-Native
332,13,50.30576795347549,15.238354242004982,2,19,2,Lift-and-Shift
130,61,30.44595327154449,2.214866099375626,1,10,2,Hybrid
217,71,46.97977361975817,8.494525356266767,1,20,3,Cloud-Native
168,54,97.56203866357313,3.573004561481082,2,32,3,Cloud-Native
59,50,24.932048232710244,3.3792648634730598,2,15,1,Hybrid
54,16,29.73098849202025,9.527521087287742,3,26,1,Hybrid
497,30,81.53430679750551,22.443161078361012,3,20,1,Lift-and-Shift
395,30,50.32828866393097,12.596033721939886,2,19,2,Lift-and-Shift
16,21,94.57804760285448,12.377944881058632,1,13,3,Hybrid
185,16,6.003500058161297,12.130013782841644,3,30,2,Cloud-Native
279,11,84.87006417395332,10.626802579667203,2,23,2,Lift-and-Shift
192,15,40.6575804804609,13.901618631204189,1,23,3,Cloud-Native
152,19,39.24853367299807,11.083327945049826,3,17,3,Hybrid
353,88,12.762290952635365,23.414446162223925,2,23,2,Hybrid
290,56,75.74155205698659,5.177860216482574,3,25,3,Hybrid
25,15,4.852482658375803,17.269408388632957,2,33,2,Cloud-Native
81,87,89.42003751572271,3.7848531656503472,3,20,1,Hybrid
206,88,74.19261669678681,7.532007049415479,2,32,3,Cloud-Native
277,72,71.16524083710836,7.545078271329222,1,23,2,Hybrid
349,24,98.00990508673702,14.217000333446478,3,40,1,Lift-and-Shift
310,70,27.28751326158641,15.90638784615877,3,36,1,Hybrid
374,16,58.768804427716354,4.507033451046494,3,39,2,Cloud-Native
80,41,4.125480820867837,22.78282151343108,1,12,1,Hybrid
230,50,42.459249518749814,10.20456258003977,1,26,3,Cloud-Native
401,88,92.13157403982386,21.011216159439527,3,3,3,Hybrid
75,76,21.526828792153225,8.138664059012287,3,30,3,Cloud-Native
197,50,95.71186372745827,11.302093002460284,3,21,3,Hybrid
186,43,61.3975814277964,5.018207974712765,1,17,3,Cloud-Native
157,38,94.20706908641868,23.5831169671859,2,13,3,Hybrid
365,72,32.387033756826355,8.696874593730705,3,17,2,Hybrid
67,83,67.98560233247203,9.422813356297988,2,22,1,Hybrid
153,15,29.47540381979985,17.28232025621229,2,28,3,Cloud-Native
136,71,22.184693999623747,19.95686503243879,2,35,3,Cloud-Native
144,27,11.81343157553692,17.910937952179587,1,15,1,Hybrid
347,77,23.341492981884716,5.971659155439889,1,26,2,Cloud-Native
372,70,10.953945572957442,18.61300236530956,1,35,1,Hybrid
213,70,48.26740352364875,5.187215404688639,2,20,2,Hybrid
335,17,90.88575891482662,2.6023269320206337,3,14,3,Lift-and-Shift
383,14,91.40974284131539,4.614022223802633,1,2,2,Lift-and-Shift
408,73,19.444851560326402,18.10157523386245,2,2,1,Hybrid
157,82,60.675513585081454,22.3186888813999,2,18,2,Hybrid
333,79,52.90753494871653,21.397609148593038,1,32,2,Cloud-Native
144,34,81.07257394605897,8.27107627554696,3,29,3,Cloud-Native
136,33,2.3943353662280096,8.422136214249132,2,36,3,Cloud-Native
392,34,18.373996470008006,20.619442850426257,2,27,3,Cloud-Native
172,21,40.68249141615875,2.74154998617141,1,30,2,Cloud-Native
484,41,1.6761819334159895,9.513998180886725,2,17,2,Hybrid
159,84,72.56537031169874,0.7687397535629478,3,23,3,Hybrid
125,17,67.11082536506846,11.43678228713534,1,25,3,Cloud-Native
262,49,69.3387473644626,15.509716142185509,2,23,3,Hybrid
118,38,95.77869314866743,11.737274643777763,2,38,2,Cloud-Native
217,80,91.36689194002732,18.29773729765166,3,13,1,Hybrid
353,86,87.4403707902856,2.4239522021219595,2,33,3,Cloud-Native
190,19,91.80722597131657,3.136906601125851,3,32,1,Hybrid
298,78,15.835385756859015,8.210764486941851,3,28,1,Hybrid
353,36,71.97487865188434,11.987457220532958,3,28,1,Lift-and-Shift
237,26,51.81153647696251,11.234764179229087,1,35,2,Cloud-Native
349,49,72.60472790267522,9.804794683901552,1,13,3,Hybrid
42,15,42.94604109308389,16.959044635283632,3,3,1,Lift-and-Shift
483,70,4.1417522312848245,10.108372991752335,1,26,2,Cloud-Native
461,58,45.40517613360589,22.05220430202061,2,24,1,Hybrid
354,79,14.165990827231663,20.716734656487347,1,11,3,Hybrid
206,77,13.60736164493825,23.500022860118897,1,1,2,Hybrid
242,79,42.98867494360675,9.412996998794155,1,15,2,Hybrid
182,29,28.289323051717602,22.52914348667407,3,7,1,Hybrid
419,63,61.87739751368233,22.501591364057962,1,15,1,Hybrid
39,22,59.80047060045637,10.991365056842156,3,3,1,Lift-and-Shift
384,15,40.824269730279724,6.006973044457698,1,3,1,Lift-and-Shift
262,47,24.18199019702403,22.035330278356827,3,20,3,Hybrid
311,51,24.453499442895342,21.09207057108447,3,33,1,Hybrid
216,48,28.240238130351937,13.582875775473012,3,11,3,Hybrid
352,64,56.029215932387544,1.6017762783826923,2,24,3,Hybrid
168,63,41.41765850612926,7.5473796192319265,1,34,2,Cloud-Native
128,38,30.77290546071963,17.128054740967347,2,3,3,Hybrid
216,63,56.171389061728036,3.6511796498883338,1,16,1,Hybrid
174,20,92.30038434661101,20.40763456911088,1,34,3,Cloud-Native
429,34,6.102126282287366,9.363447411591485,3,38,1,Lift-and-Shift
452,19,19.628166099342778,18.399865812124435,3,35,1,Lift-and-Shift
250,36,87.07791130092926,8.3246613042423,1,13,1,Lift-and-Shift
497,25,74.94104351816794,18.226772459258438,1,38,3,Cloud-Native
109,60,91.59751949976209,13.473863374873641,2,24,2,Hybrid
278,55,31.5338061444059,8.951648522549782,2,29,1,Hybrid
416,70,76.40126796166142,8.025482192536941,1,23,2,Hybrid
216,15,56.68994801897108,5.699941310431293,1,1,2,Lift-and-Shift
288,84,58.335149677702645,10.31308472854658,1,12,2,Hybrid
122,58,57.409161757699465,6.274655384820586,3,21,2,Hybrid
395,72,96.68431845778402,15.579819678369619,2,29,1,Hybrid
380,55,17.75730537515799,17.427367972909202,2,11,3,Hybrid
333,17,52.870497125003865,20.218109599481437,1,3,1,Lift-and-Shift
216,27,84.4119269657095,5.93868471381997,3,9,1,Lift-and-Shift
116,74,46.144956238171964,1.9205777944559437,3,39,2,Hybrid
342,72,2.5574449200527534,13.00699339779931,2,0,1,Hybrid
276,45,54.03807218946855,7.237180608532213,3,27,1,Hybrid
59,22,52.914154721355814,6.162767559367443,3,33,2,Cloud-Native
422,55,27.465148930986945,9.827065928704679,2,25,2,Hybrid
294,41,99.03307013233301,5.807645436744421,3,5,3,Hybrid
444,14,10.256550037283832,9.412704522635675,3,30,1,Lift-and-Shift
331,11,70.5816698518915,2.4431238788863414,2,21,3,Lift-and-Shift
444,22,89.58433000212727,22.100077062844978,1,13,3,Lift-and-Shift
459,82,48.07452847688206,1.594206312430967,1,17,3,Cloud-Native
293,14,18.75609581878684,20.48504860244982,1,13,3,Lift-and-Shift
78,60,92.9586190850795,7.533006905150269,3,15,3,Hybrid
432,59,68.0264616217915,13.203217128631852,2,8,3,Hybrid
375,20,50.57849231213479,23.396598194745916,1,6,2,Lift-and-Shift
123,19,34.71868190103549,18.571632854087895,3,25,2,Hybrid
20,44,78.57126575906575,11.087929576852776,1,22,3,Cloud-Native
486,58,43.752946677714924,16.472829165071733,3,24,1,Hybrid
400,89,30.24256858980255,6.291569860712069,1,5,2,Hybrid
83,58,71.45603832308305,15.396670726131697,3,24,2,Hybrid
189,23,10.060522440927672,22.659565342547634,2,23,2,Hybrid
57,26,9.642426003156494,10.628018625436919,3,35,3,Cloud-Native
213,23,3.599928497316423,8.816985752613583,1,38,3,Cloud-Native
406,51,86.50809954955096,0.7900044497729293,2,24,1,Hybrid
376,81,90.61554985702253,23.487067004326352,3,33,1,Hybrid
355,58,17.780672779270745,6.819595642958467,2,31,1,Hybrid
37,31,44.032950657011746,10.39590498465432,2,4,2,Hybrid
